version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 194.87.190.127 5432 40496 6 5 431 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58880 5432 6 14 2720 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58951 6 13 5176 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58823 6 15 4924 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58999 5432 6 13 2714 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58954 6 15 4924 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58958 6 13 5176 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58886 6 13 5176 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58913 5432 6 14 2720 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 194.87.190.127 5432 38136 6 5 431 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58935 5432 6 14 2720 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58893 6 15 4924 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58937 5432 6 14 2720 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58917 5432 6 14 2720 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58999 6 13 5176 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 136.35.186.87 10.0.1.149 58958 5432 6 13 2714 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58860 6 15 4924 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58882 6 16 4964 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58903 6 13 5176 1777093058 1777093089 ACCEPT OK
2 560205084868 eni-086e771b77c2495ae 10.0.1.149 136.35.186.87 5432 58879 6 13 5176 1777093058 1777093089 ACCEPT OK
